chapter,chapter_title,sent_id,text
1,Chapter One,1,"Arrest— Conversation with Mrs_Grubach— Then Miss_Buerstner

Someone must have been telling lies about K., he knew he had done nothing wrong but, one morning, he was arrested."
1,Chapter One,2,Every day at eight in the morning he was brought his breakfast by Mrs_Grubach's cook— Mrs_Grubach was his landlady— but today she didn't come.
1,Chapter One,3,That had never happened before.
1,Chapter One,4,"K. waited a little while, looked from his pillow at the old woman who lived opposite and who was watching him with an inquisitiveness quite unusual for her, and finally, both hungry and disconcerted, rang the bell."
1,Chapter One,5,There was immediately a knock at the door and a man entered.
1,Chapter One,6,He had never seen the man in this house before.
1,Chapter One,7,"He was slim but firmly built, his clothes were black and close-fitting, with many folds and pockets, buckles and buttons and a belt, all of which gave the impression of being very practical but without making it very clear what they were actually for."
1,Chapter One,8,"""Who are you?"" asked K., sitting half upright in his bed."
1,Chapter One,9,"The man, however, ignored the question as if his arrival simply had to be accepted, and merely replied, ""You rang?"""
1,Chapter One,10,"""Anna should have brought me my breakfast,"" said K. He tried to work out who the man actually was, first in silence, just through observation and by thinking about it, but the man didn't stay still to be looked at for very long."
1,Chapter One,11,"Instead he went over to the door, opened it slightly, and said to someone who was clearly standing immediately behind it, ""He wants Anna to bring him his breakfast."""
1,Chapter One,12,"There was a little laughter in the neighbouring room, it was not clear from the sound of it whether there were several people laughing."
1,Chapter One,13,"The strange man could not have learned anything from it that he hadn't known already, but now he said to K., as if making his report ""It is not possible."""
1,Chapter One,14,"""It would be the first time that's happened,"" said K., as he jumped out of bed and quickly pulled on his trousers."
1,Chapter One,15,"""I want to see who that is in the next room, and why it is that Mrs_Grubach has let me be disturbed in this way."""
1,Chapter One,16,"It immediately occurred to him that he needn't have said this out loud, and that he must to some extent have acknowledged their authority by doing so, but that didn't seem important to him at the time."
1,Chapter One,17,"That, at least, is how the stranger took it, as he said, ""Don't you think you'd better stay where you are?"""
1,Chapter One,18,"""I want neither to stay here nor to be spoken to by you until you've introduced yourself."""
1,Chapter One,19,"""I meant it for your own good,"" said the stranger and opened the door, this time without being asked."
1,Chapter One,20,"The next room, which K. entered more slowly than he had intended, looked at first glance exactly the same as it had the previous evening."
1,Chapter One,21,"It was Mrs_Grubach's living room, over-filled with furniture, tablecloths, porcelain and photographs."
1,Chapter One,22,"Perhaps there was a little more space in there than usual today, but if so it was not immediately obvious, especially as the main difference was the presence of a man sitting by the open window with a book from which he now looked up."
1,Chapter One,23,"""You should have stayed in your room!"
1,Chapter One,24,"Didn't Franz_Warder tell you?"""
1,Chapter One,25,"""And what is it you want, then?"" said K., looking back and forth between this new acquaintance and the one named Franz_Warder, who had remained in the doorway."
1,Chapter One,26,"Through the open window he noticed the old woman again, who had come close to the window opposite so that she could continue to see everything."
1,Chapter One,27,She was showing an inquisitiveness that really made it seem like she was going senile.
1,Chapter One,28,"""I want to see Mrs_Grubach…,"" said K., making a movement as if tearing himself away from the two men— even though they were standing well away from him— and wanted to go."
1,Chapter One,29,"""No,"" said the man at the window, who threw his book down on a coffee table and stood up."
1,Chapter One,30,"""You can't go away when you're under arrest."""
1,Chapter One,31,"""That's how it seems,"" said K. ""And why am I under arrest?"""
1,Chapter One,32,he then asked.
1,Chapter One,33,"""That's something we're not allowed to tell you."
1,Chapter One,34,Go into your room and wait there.
1,Chapter One,35,Proceedings are underway and you'll learn about everything all in good time.
1,Chapter One,36,"It's not really part of my job to be friendly towards you like this, but I hope no-one, apart from Franz_Warder, will hear about it, and he's been more friendly towards you than he should have been, under the rules, himself."
1,Chapter One,37,"If you carry on having as much good luck as you have been with your arresting officers then you can reckon on things going well with you."""
1,Chapter One,38,"K. wanted to sit down, but then he saw that, apart from the chair by the window, there was nowhere anywhere in the room where he could sit."
1,Chapter One,39,"""You'll get the chance to see for yourself how true all this is,"" said Franz_Warder and both men then walked up to K."
1,Chapter One,40,"They were significantly bigger than him, especially the second man, who frequently slapped him on the shoulder."
1,Chapter One,41,"The two of them felt K.'s nightshirt, and said he would now have to wear one that was of much lower quality, but that they would keep the nightshirt along with his other underclothes and return them to him if his case turned out well."
1,Chapter One,42,"""It's better for you if you give us the things than if you leave them in the storeroom,"" they said."
1,Chapter One,43,"""Things have a tendency to go missing in the storeroom, and after a certain amount of time they sell things off, whether the case involved has come to an end or not."
1,Chapter One,44,"And cases like this can last a long time, especially the ones that have been coming up lately."
1,Chapter One,45,"They'd give you the money they got for them, but it wouldn't be very much as it's not what they're offered for them when they sell them that counts, it's how much they get slipped on the side, and things like that lose their value anyway when they get passed on from hand to hand, year after year."""
1,Chapter One,46,"K. paid hardly any attention to what they were saying, he did not place much value on what he may have still possessed or on who decided what happened to them."
1,Chapter One,47,"It was much more important to him to get a clear understanding of his position, but he could not think clearly while these people were here, the second policeman's belly— and they could only be policemen— looked friendly enough, sticking out towards him, but when K. looked up and saw his dry, bony face it did not seem to fit with the body."
1,Chapter One,48,His strong nose twisted to one side as if ignoring K. and sharing an understanding with the other policeman.
1,Chapter One,49,What sort of people were these?
1,Chapter One,50,What were they talking about?
1,Chapter One,51,What office did they belong to?
1,Chapter One,52,"K. was living in a free country, after all, everywhere was at peace, all laws were decent and were upheld, who was it who dared accost him in his own home."
1,Chapter One,53,"He was always inclined to take life as lightly as he could, to cross bridges when he came to them, pay no heed for the future, even when everything seemed under threat."
1,Chapter One,54,But here that did not seem the right thing to do.
1,Chapter One,55,"He could have taken it all as a joke, a big joke set up by his colleagues at the bank for some unknown reason, or also perhaps because today was his thirtieth birthday, it was all possible of course, maybe all he had to do was laugh in the policemen's face in some way and they would laugh with him, maybe they were tradesmen from the corner of the street, they looked like they might be— but he was nonetheless determined, ever since he first caught sight of the one called Franz_Warder, not to lose any slight advantage he might have had over these people."
1,Chapter One,56,"There was a very slight risk that people would later say he couldn't understand a joke, but— although he wasn't normally in the habit of learning from experience— he might also have had a few unimportant occasions in mind when, unlike his more cautious friends, he had acted with no thought at all for what might follow and had been made to suffer for it."
1,Chapter One,57,"He didn't want that to happen again, not this time at least; if they were play-acting he would act along with them."
1,Chapter One,58,He still had time.
1,Chapter One,59,"""Allow me,"" he said, and hurried between the two policemen through into his room."
1,Chapter One,60,"""He seems sensible enough,"" he heard them say behind him."
1,Chapter One,61,"Once in his room, he quickly pulled open the drawer of his writing desk, everything in it was very tidy but in his agitation he was unable to find the identification documents he was looking for straight away."
1,Chapter One,62,"He finally found his bicycle permit and was about to go back to the policemen with it when it seemed to him too petty, so he carried on searching until he found his birth certificate."
1,Chapter One,63,Just as he got back in the adjoining room the door on the other side opened and Mrs_Grubach was about to enter.
1,Chapter One,64,"He only saw her for an instant, for as soon as she recognised K. she was clearly embarrassed, asked for forgiveness and disappeared, closing the door behind her very carefully."
1,Chapter One,65,"""Do come in,"" K. could have said just then."
1,Chapter One,66,But now he stood in the middle of the room with his papers in his hand and still looking at the door which did not open again.
1,Chapter One,67,"He stayed like that until he was startled out of it by the shout of the policeman who sat at the little table at the open window and, as K. now saw, was eating his breakfast."
1,Chapter One,68,"""Why didn't she come in?"" he asked."
1,Chapter One,69,"""She's not allowed to,"" said the big policeman."
1,Chapter One,70,"""You're under arrest, aren't you?"""
1,Chapter One,71,"""But how can I be under arrest?"
1,Chapter One,72,"And how come it's like this?"""
1,Chapter One,73,"""Now you're starting again,"" said the policeman, dipping a piece of buttered bread in the honeypot."
1,Chapter One,74,"""We don't answer questions like that."""
