chapter,chapter_title,k_sentences_with_others,k_unique_partners,k_inst_partners,k_noninst_partners,k_inst_partner_ratio,k_outgoing_speech,k_incoming_speech,inst_speakers,noninst_speakers,total_quotes,inst_speaker_ratio
1,Chapter One,138,8,3,5,0.375,49,7,2,2,207,0.5
2,Chapter Two,76,5,4,1,0.8,7,0,0,0,45,0.0
3,Chapter Three,123,1,1,0,1.0,35,0,0,0,150,0.0
4,Chapter Four,47,2,0,2,0.0,8,2,0,1,31,0.0
5,Chapter Five,33,2,2,0,1.0,8,1,1,0,35,1.0
6,Chapter Six,87,4,2,2,0.5,31,7,2,1,167,0.6666666666666666
7,Chapter Seven,222,3,3,0,1.0,38,9,2,0,195,1.0
8,Chapter Eight,158,4,2,2,0.5,61,7,2,1,260,0.6666666666666666
9,Chapter Nine,116,2,2,0,1.0,37,0,1,0,95,1.0
10,Chapter Ten,34,0,0,0,0.0,4,0,0,0,14,0.0
