chapter,chapter_title,sentence_count,token_count,avg_tokens_per_sentence,chapter_label
1,Chapter One,529,13486,25.493383742911153,One
2,Chapter Two,246,7353,29.890243902439025,Two
3,Chapter Three,393,11371,28.93384223918575,Three
4,Chapter Four,138,3406,24.681159420289855,Four
5,Chapter Five,111,3266,29.423423423423422,Five
6,Chapter Six,370,9999,27.024324324324326,Six
7,Chapter Seven,821,22933,27.933008526187574,Seven
8,Chapter Eight,606,14402,23.765676567656765,Eight
9,Chapter Nine,357,10654,29.84313725490196,Nine
10,Chapter Ten,100,2402,24.02,Ten
