chapter,chapter_title,source,target,weight
1,Chapter One,Franz_Warder,K.,5
1,Chapter One,Franz_Warder,Supervisor,1
1,Chapter One,Franz_Warder,Willem_Warder,2
1,Chapter One,K.,Kaminer,4
1,Chapter One,K.,Kullich,3
1,Chapter One,K.,Miss_Buerstner,16
1,Chapter One,K.,Mrs_Grubach,9
1,Chapter One,K.,Rabensteiner,2
1,Chapter One,K.,Supervisor,9
1,Chapter One,K.,Willem_Warder,2
1,Chapter One,Kaminer,Kullich,3
1,Chapter One,Kaminer,Rabensteiner,2
1,Chapter One,Kullich,Rabensteiner,2
1,Chapter One,Miss_Buerstner,Mrs_Grubach,6
1,Chapter One,Supervisor,Willem_Warder,1
2,Chapter Two,Examining_Magistrate,K.,1
2,Chapter Two,K.,Kaminer,1
2,Chapter Two,K.,Titorelli,1
2,Chapter Two,K.,Ushers_Wife,1
2,Chapter Two,K.,Willem_Warder,1
2,Chapter Two,Kaminer,Kullich,1
2,Chapter Two,Kaminer,Rabensteiner,1
2,Chapter Two,Kullich,Rabensteiner,1
3,Chapter Three,K.,Usher,12
4,Chapter Four,K.,Miss_Buerstner,10
4,Chapter Four,K.,Mrs_Grubach,10
4,Chapter Four,Miss_Buerstner,Mrs_Grubach,4
5,Chapter Five,Franz_Warder,K.,5
5,Chapter Five,Franz_Warder,Willem_Warder,4
5,Chapter Five,K.,Willem_Warder,2
6,Chapter Six,Block_Client,K.,1
6,Chapter Six,Huld_lawyer,K.,7
6,Chapter Six,Huld_lawyer,Leni,3
6,Chapter Six,Huld_lawyer,Uncle_Karl,10
6,Chapter Six,K.,Leni,10
6,Chapter Six,K.,Uncle_Karl,33
6,Chapter Six,Leni,Uncle_Karl,6
6,Chapter Six,Miss_Buerstner,Ushers_Wife,1
7,Chapter Seven,Block_Client,Titorelli,1
7,Chapter Seven,Huld_lawyer,K.,11
7,Chapter Seven,Huld_lawyer,Leni,3
7,Chapter Seven,Huld_lawyer,Miss_Buerstner,1
7,Chapter Seven,Huld_lawyer,Titorelli,2
7,Chapter Seven,Huld_lawyer,Uncle_Karl,1
7,Chapter Seven,K.,Leni,4
7,Chapter Seven,K.,Titorelli,59
7,Chapter Seven,Miss_Buerstner,Uncle_Karl,1
8,Chapter Eight,Block_Client,Huld_lawyer,26
8,Chapter Eight,Block_Client,K.,50
8,Chapter Eight,Block_Client,Leni,21
8,Chapter Eight,Huld_lawyer,K.,36
8,Chapter Eight,Huld_lawyer,Leni,13
8,Chapter Eight,K.,Leni,23
8,Chapter Eight,K.,Uncle_Karl,1
9,Chapter Nine,K.,Leni,2
9,Chapter Nine,K.,Prison_Chaplain,1
