chapter,chapter_title,k_sentences,any_named_sentences,k_focus_ratio,k_deg,k_num_neighbors,ego_total_edges,ego_neighbor_neighbor_edges,enclosure_ratio
1,Chapter One,138,215,0.641860465116279,8.0,8.0,15.0,7.0,0.4666666666666667
2,Chapter Two,76,85,0.8941176470588236,5.0,5.0,5.0,0.0,0.0
3,Chapter Three,123,146,0.8424657534246576,1.0,1.0,1.0,0.0,0.0
4,Chapter Four,47,70,0.6714285714285714,2.0,2.0,3.0,1.0,0.3333333333333333
5,Chapter Five,33,46,0.717391304347826,2.0,2.0,3.0,1.0,0.3333333333333333
6,Chapter Six,87,176,0.4943181818181818,4.0,4.0,7.0,3.0,0.42857142857142855
7,Chapter Seven,222,337,0.658753709198813,3.0,3.0,5.0,2.0,0.4
8,Chapter Eight,158,321,0.49221183800623053,4.0,4.0,7.0,3.0,0.42857142857142855
9,Chapter Nine,116,119,0.9747899159663865,2.0,2.0,2.0,0.0,0.0
10,Chapter Ten,34,35,0.9714285714285714,,,,,
