chapter,Function Words (Grammar Glue),Verbs (Actions/States),Nouns (People/Things),Modifiers (Descriptions),Other
1,49.05503825942657,23.388955471558955,13.570572508527704,13.53369595279801,0.45173780768876187
2,47.72548402329608,22.0525735872816,16.779474264127185,13.285062175350228,0.15740594994490792
3,48.3450779414905,22.880632073457186,13.623745462310485,14.766175528507366,0.38436899423446513
4,48.58156028368794,23.085106382978722,15.070921985815602,12.943262411347517,0.3191489361702127
5,46.55172413793103,23.800599700149924,15.179910044977513,14.09295352323838,0.3748125937031484
6,47.248052274440816,23.146519225936167,14.036189997486806,15.154561447599898,0.41467705453631565
7,46.562952243125906,22.12631796568121,16.198056646681827,14.864585486872029,0.24808765763903248
8,47.796909492273734,24.45916114790287,12.379690949227374,14.931567328918321,0.4326710816777042
9,47.48838238548351,22.881168400088512,15.235671608763003,14.228811684000886,0.16596592166408497
10,50.09708737864078,21.262135922330096,15.048543689320388,13.592233009708737,0.0
